listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
214,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_gulf-stream_conquest_ef22c6,Rent my 2021 Gulf Stream Conquest from $115/night | RVezy,214.0,Calgary,AB,Travel Trailer,2021.0,Gulf,Stream Conquest,19.0,519,,3663.0,"2""",638.0,115.0,1.0,0,0,,,5.0,11.0,5.0,5.0,5.0,5.0,1,1,1,Fiona,100.0,0.0
215,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_springdale_9af84c,Rent my 2019 Keystone Springdale from $150/night | RVezy,215.0,Calgary,AB,Travel Trailer,2019.0,Keystone,Springdale,22.0,822,,4701.0,"2 5/16""",570.0,150.0,1.0,1,1,200.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,1,Katie,100.0,0.0
216,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_ford_transit-connect-_43aa6d,Rent my 2011 Ford Transit connect from $190/night | RVezy,216.0,Calgary,AB,,2011.0,Ford,Transit connect,12.0,212,,,,,190.0,500.0,1,1,50.0,2.0,,,,,,,1,1,0,Kelvin,100.0,0.0
218,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_ford_transit,Rent my 2010 Ford transit from $190/night | RVezy,216.0,Calgary,AB,,2010.0,Ford,transit,12.0,212,,,,,190.0,1.0,1,0,,,4.6,11.0,4.6,4.6,4.4,4.6,1,1,0,Kelvin,100.0,0.0
220,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classb_ram_promaster-3500-extended_cbdf77,"Cozy custom crafted van with Shower, Toilet, Heat, Solar and more!",220.0,Calgary,AB,Class B,,,,21.0,221,,,,,,1.0,0,0,,,,,,,,,0,0,0,Tomas,100.0,0.0
221,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_boler_13-foot_1,Rent my 1976 Boler 13 Foot from $161/night | RVezy,221.0,Calgary,AB,Travel Trailer,1976.0,Boler,13 Foot,13.0,213,,1750.0,"2""",90.0,161.0,1.0,1,1,100.0,2.5,5.0,10.0,5.0,5.0,5.0,5.0,0,0,0,Corinna,100.0,1.0
222,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_boler_17foot,Rent my 1977 Boler 17foot from $167/night | RVezy,221.0,Calgary,AB,Travel Trailer,1977.0,Boler,17foot,17.0,417,,2500.0,"2""",200.0,167.0,1.0,1,1,100.0,2.5,5.0,7.0,4.9,5.0,5.0,5.0,0,0,0,Corinna,100.0,1.0
223,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_passport-ultra-lite_0eb807,Rent my 2011 Keystone passport ultra lite from $150/night | RVezy,223.0,Calgary,AB,Travel Trailer,2011.0,Keystone,passport ultra lite,32.0,732,1.0,5600.0,"2""",640.0,150.0,1.0,0,1,200.0,1.5,4.4,2.0,4.0,4.0,4.5,5.0,0,0,0,laetitia,93.0,0.0
224,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_forest-river_avenger-,"YYC Fully Stocked 26’ RV - bring food, clothes and bedding",224.0,Calgary,AB,Travel Trailer,,,,26.0,626,,5000.0,"2""",5000.0,,500.0,1,0,,,4.2,8.0,4.1,4.0,4.0,4.7,1,1,0,Nicole,93.0,0.0
227,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_forest-river_sunseeker_a39722,Rent my 2011 Forest River Sunseeker from $448/night | RVezy,227.0,Calgary,AB,Class C,2011.0,Forest,River Sunseeker,32.0,832,2.0,,,,448.0,1.0,0,1,50.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1,1,0,Anna,93.0,0.0
